Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=bbf42349e251aa17848ddf8c46a606d6&df=true&MAX_DOWNLOAD_SERIES=500&DATASET=0&org.apache.struts.taglib.html.TOKEN=6daaefa0cae18e10a1620a716a31fa60&org.apache.struts.taglib.html.TOKEN=dde6f882908bd1fa6526a22ced1cbadb&org.apache.struts.taglib.html.TOKEN=274918004cd7878c61140693b749d336&org.apache.struts.taglib.html.TOKEN=cee2ea0d7dafc6eb3b7535f5eb59f646&FREQ.18=D&node=9691296&SERIES_MAX_NUM=50&legendPub=published&activeTab=EXR&start=05-01-2021&end=05-01-2023&submitOptions.x=0&submitOptions.y=0&trans=N&q=&type=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXR.D.AUD.EUR.SP00.A,EXR.D.BGN.EUR.SP00.A,EXR.D.BRL.EUR.SP00.A,EXR.D.CAD.EUR.SP00.A,EXR.D.CHF.EUR.SP00.A,EXR.D.CNY.EUR.SP00.A,EXR.D.CZK.EUR.SP00.A,EXR.D.DKK.EUR.SP00.A,EXR.D.GBP.EUR.SP00.A,EXR.D.HKD.EUR.SP00.A,EXR.D.HRK.EUR.SP00.A,EXR.D.HUF.EUR.SP00.A,EXR.D.IDR.EUR.SP00.A,EXR.D.ILS.EUR.SP00.A,EXR.D.INR.EUR.SP00.A,EXR.D.ISK.EUR.SP00.A,EXR.D.JPY.EUR.SP00.A,EXR.D.KRW.EUR.SP00.A,EXR.D.MXN.EUR.SP00.A,EXR.D.MYR.EUR.SP00.A,EXR.D.NOK.EUR.SP00.A,EXR.D.NZD.EUR.SP00.A,EXR.D.PHP.EUR.SP00.A,EXR.D.PLN.EUR.SP00.A,EXR.D.RON.EUR.SP00.A,EXR.D.RUB.EUR.SP00.A,EXR.D.SEK.EUR.SP00.A,EXR.D.SGD.EUR.SP00.A,EXR.D.THB.EUR.SP00.A,EXR.D.TRY.EUR.SP00.A,EXR.D.USD.EUR.SP00.A,EXR.D.ZAR.EUR.SP00.A
,Australian dollar,Bulgarian lev,Brazilian real,Canadian dollar,Swiss franc,Chinese yuan renminbi,Czech koruna,Danish krone,UK pound sterling,Hong Kong dollar,Croatian kuna,Hungarian forint,Indonesian rupiah,Israeli shekel,Indian rupee,Iceland krona,Japanese yen,Korean won (Republic),Mexican peso,Malaysian ringgit,Norwegian krone,New Zealand dollar,Philippine peso,Polish zloty,Romanian leu,Russian rouble,Swedish krona,Singapore dollar,Thai baht,Turkish lira,US dollar,South African rand
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Australian dollar ],[Bulgarian lev ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Czech koruna ],[Danish krone ],[UK pound sterling ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Thai baht ],[Turkish lira ],[US dollar ],[South African rand ]
2023/1/5,1.5515,1.9558,5.706,1.4316,0.9839,7.2863,24.028,7.4373,0.88303,8.2788,,396.88,16543.07,3.74,87.4755,152.3,140.95,1345.9,20.5412,4.6517,10.7248,1.6832,59.185,4.67,4.9235,,11.1848,1.4213,35.948,19.8982,1.0601,18.125
2023/1/4,1.5452,1.9558,5.7758,1.4363,0.9843,7.2985,24.028,7.4374,0.88076,8.2864,,395.85,16504.76,3.7397,87.791,151.7,138.74,1348.95,20.4494,4.6641,10.738,1.6775,59.33,4.6685,4.9264,,11.1653,1.4212,36.047,19.867,1.0599,17.8349
2023/1/3,1.5708,1.9558,5.6656,1.4414,0.9879,7.2863,24.124,7.437,0.88048,8.2392,,403.33,16471.95,3.7216,87.4095,151.7,137.93,1346.51,20.5283,4.6439,10.528,1.6932,59.02,4.6831,4.931,,11.143,1.4188,36.254,19.7566,1.0545,18.019
2023/1/2,1.5699,1.9558,5.7048,1.4506,0.9873,7.3698,24.176,7.4374,0.8863,8.3389,,401.03,16631.78,3.7537,88.426,151.7,139.62,1357.8,20.8318,4.7059,10.5135,1.6886,59.634,4.6813,4.94,,11.1663,1.4324,36.915,20.0039,1.0683,18.1719
2022/12/30,1.5693,1.9558,5.6386,1.444,0.9847,7.3582,24.116,7.4365,0.88693,8.3163,7.5365,400.87,16519.82,3.7554,88.171,151.5,140.66,1344.09,20.856,4.6984,10.5138,1.6798,59.32,4.6808,4.9495,,11.1218,1.43,36.835,19.9649,1.0666,18.0986
2022/12/29,1.5859,1.9558,5.5351,1.4475,0.984,7.4151,24.191,7.4365,0.88549,8.2994,7.5365,399.6,16680.38,3.7575,88.2295,152.5,142.24,1350.18,20.651,4.7106,10.55,1.6887,59.367,4.6855,4.9493,,11.158,1.436,36.877,19.934,1.0649,18.1967
2022/12/28,1.566,1.9558,5.6109,1.4361,0.9863,7.4224,24.252,7.4365,0.88058,8.2931,7.5365,403.3,16765.93,3.7526,88.0943,151.9,142.21,1348.59,20.6856,4.7055,10.4495,1.6772,59.613,4.7008,4.946,,11.1038,1.4323,36.953,19.9144,1.064,18.289
2022/12/27,1.577,1.9558,5.6035,1.4384,0.9885,7.3994,24.26,7.4366,0.88333,8.2874,7.5375,401.65,16620.58,3.7278,88.0808,152.3,141.68,1349.85,20.5515,4.699,10.4895,1.6916,59.356,4.6683,4.927,,11.1285,1.43,36.775,19.8799,1.0624,18.3181
2022/12/23,1.5857,1.9558,5.4834,1.4433,0.9867,7.4198,24.247,7.4364,0.8803,8.2878,7.537,400.68,16569.18,3.704,87.958,152.3,140.86,1359.5,20.7115,4.7002,10.4448,1.6887,58.623,4.6423,4.9056,,11.1045,1.4337,36.842,19.843,1.0622,18.1048
2022/12/22,1.5804,1.9558,5.5386,1.4484,0.9852,7.4229,24.215,7.4367,0.88243,8.2883,7.538,402.13,16525.91,3.6942,88.0365,153.3,140.42,1361.75,20.8485,4.7051,10.4123,1.6918,58.705,4.6443,4.8993,,11.05,1.4356,36.849,19.8553,1.0633,18.2238
2022/12/21,1.5859,1.9558,5.4913,1.4475,0.9836,7.4219,24.218,7.438,0.87651,8.2902,7.5419,402.93,16573.77,3.6989,88.109,152.1,140.29,1367.63,20.9919,4.7197,10.4309,1.685,58.556,4.6665,4.8937,,11.0623,1.4366,36.907,19.8541,1.0636,18.3529
2022/12/20,1.5972,1.9558,5.6234,1.4451,0.9854,7.39,24.181,7.4388,0.8753,8.2488,7.5471,403.88,16537.09,3.6759,87.6649,151.5,140.58,1363.73,20.9355,4.6991,10.5098,1.6816,58.549,4.6757,4.9125,,11.0615,1.4347,36.853,19.7744,1.0599,18.4239
2022/12/19,1.5794,1.9558,5.6327,1.4472,0.9884,7.3901,24.233,7.4382,0.87118,8.2428,7.5395,403.18,16506.72,3.6551,87.5321,151.9,144.65,1377.17,20.9743,4.6912,10.5025,1.6632,58.649,4.6853,4.9107,,11.0063,1.4378,36.923,19.7676,1.0598,18.3074
2022/12/16,1.5866,1.9558,5.6233,1.4506,0.9879,7.4037,24.262,7.4379,0.87233,8.2632,7.5385,407.1,16575.47,3.6689,87.824,150.1,145.53,1389.7,21.0634,4.6984,10.4833,1.6687,58.967,4.6925,4.9213,,11.0153,1.4413,37.145,19.8039,1.0619,18.6708
2022/12/15,1.5695,1.9558,5.6247,1.4443,0.9862,7.4007,24.27,7.4387,0.86194,8.2551,7.5395,406.4,16591.4,3.6388,87.9355,150.9,145.07,1393.97,20.9431,4.6918,10.4013,1.6628,59.297,4.689,4.922,,10.898,1.4406,37.12,19.806,1.0621,18.3599
2022/12/14,1.551,1.9558,5.6842,1.4441,0.9865,7.4009,24.276,7.4392,0.86118,8.2751,7.538,406.63,16599.51,3.6327,87.8435,150.9,143.68,1379.99,20.8635,4.6765,10.362,1.6508,59.326,4.681,4.9248,,10.8638,1.4349,36.851,19.8579,1.0649,18.2563
2022/12/13,1.5553,1.9558,5.5784,1.4341,0.9869,7.3637,24.287,7.4391,0.85753,8.2033,7.5495,409.65,16521.81,3.6266,87.2965,151.1,144.85,1378.75,20.9435,4.6704,10.4679,1.6464,58.852,4.6938,4.9298,,10.8965,1.4288,36.707,19.6649,1.0545,18.6855
2022/12/12,1.5625,1.9558,5.556,1.4428,0.9855,7.367,24.307,7.4379,0.86006,8.2103,7.554,416.78,16524.63,3.6232,87.253,150.7,144.86,1377.93,20.9047,4.6652,10.5548,1.6523,58.788,4.6923,4.9318,,10.9075,1.4284,36.708,19.6913,1.0562,18.4697
2022/12/9,1.5553,1.9558,5.5457,1.438,0.9856,7.3475,24.293,7.4379,0.8595,8.2169,7.555,417.53,16453.46,3.6128,86.9535,149.5,143.3,1373.94,20.849,4.6512,10.5345,1.6482,58.47,4.6869,4.9224,,10.9188,1.426,36.656,19.6872,1.0559,18.2358
2022/12/8,1.559,1.9558,5.488,1.4307,0.9889,7.3324,24.324,7.4382,0.86258,8.1889,7.5553,417.66,16423.92,3.6206,86.6755,149.5,143.75,1387.06,20.6989,4.6257,10.488,1.6547,58.233,4.6853,4.9131,,10.906,1.4256,36.559,19.6114,1.0519,18.0225
2022/12/7,1.5728,1.9558,5.5023,1.4387,0.9893,7.3476,24.322,7.4382,0.86408,8.1997,7.5525,410.63,16465.17,3.626,86.692,148.7,144.44,1390.87,20.7534,4.6301,10.5255,1.6573,58.432,4.7003,4.918,,10.919,1.4286,36.904,19.6256,1.0529,18.1353
2022/12/6,1.5625,1.9558,5.5113,1.4326,0.9872,7.3494,24.316,7.438,0.8617,8.1813,7.5563,415.08,16441.49,3.5831,86.6485,148.9,143.33,1386.39,20.6884,4.6223,10.4408,1.6583,58.782,4.6975,4.913,,10.889,1.4263,36.827,19.601,1.0516,18.2068
2022/12/5,1.5542,1.9558,5.5491,1.4198,0.9893,7.3573,24.351,7.4369,0.86085,8.2236,7.551,412.13,16332.36,3.5856,86.5249,148.9,143.07,1370.87,20.7295,4.6255,10.3366,1.6498,59.245,4.695,4.9215,,10.8931,1.4271,36.732,19.7326,1.0587,18.2038
2022/12/2,1.5457,1.9558,5.4657,1.416,0.9834,7.3971,24.377,7.4373,0.85855,8.2035,7.5503,410,16179.78,3.5769,85.6435,148.7,141.32,1366.67,20.187,4.6241,10.2615,1.6453,58.734,4.684,4.9298,,10.902,1.4227,36.614,19.6392,1.0538,18.2749
2022/12/1,1.5377,1.9558,5.4508,1.4059,0.9868,7.3965,24.361,7.4373,0.85715,8.1371,7.55,413.5,16160.84,3.5642,84.933,148.7,142.48,1363.81,20.1472,4.605,10.2495,1.6446,58.793,4.6998,4.9303,,10.8984,1.4195,36.526,19.4778,1.0454,18.5393
2022/11/30,1.5425,1.9558,5.5063,1.4021,0.9854,7.3437,24.338,7.4366,0.86488,8.0944,7.549,408.4,16271.81,3.5691,84.4215,147.1,144.28,1365.14,20.0111,4.6147,10.2648,1.6634,58.697,4.6635,4.9245,,10.9345,1.418,36.588,19.3333,1.0376,17.5768
2022/11/29,1.5414,1.9558,5.5126,1.4005,0.9862,7.4289,24.334,7.4367,0.86218,8.0965,7.55,406.5,16301.58,3.5581,84.6548,147.1,143.36,1375.7,19.8075,4.6735,10.3313,1.6639,58.64,4.673,4.9193,,10.901,1.4237,36.706,19.3181,1.0366,17.6027
